seed,arch,corruption,gate,BFMP_AUROC,BFMP_AUPR,FHR_MAE,FHR_RMSE,FHR_R2,MCD_AUROC,DE_AUROC,ODIN_AUROC,AE_AUROC,ABL_ESS,ABL_ADD,ABL_ODD,ABL_NAIVE,ABL_LCFS
3,cnn,impulse_noise,ODD,0.8867241379310346,0.9945263368228283,0.3791739547997713,0.5013380574387541,-0.07824902546745394,0.6056896551724138,0.6112931034482758,0.64875,0.5120689655172415,0.6993965517241378,0.8731896551724139,0.7107758620689655,0.7832327586206896,0.8867241379310346
4,cnn,impulse_noise,ODD,0.7338798415492958,0.9794283506540098,0.5098443901042143,0.6273974616913582,-0.14886761396771142,0.453400088028169,0.5404929577464789,0.5080325704225352,0.491912411971831,0.538512323943662,0.8248239436619719,0.531800176056338,0.6389194542253522,0.7338798415492958
0,cnn,defocus_blur,ODD,0.8428544671286758,0.9872956343380082,0.4944071275492509,0.6354850182286625,-0.02411847802189393,0.48215958044577645,0.44146843978273087,0.516248361116314,0.5436879565461697,0.546122869451208,0.8418243116688519,0.5392395579696573,0.6628816257726167,0.8428544671286758
1,cnn,defocus_blur,ODD,0.5527338515143394,0.9568700993282309,0.36483704107503095,0.540282722417287,-0.0663860940427492,0.46214151701956574,0.4898150629857947,0.39305816135084426,0.4916242294291074,0.48378450817475205,0.8511123023318146,0.5062985794693112,0.6188019297775396,0.5527338515143394
2,cnn,defocus_blur,ODD,0.6204285041594726,0.9589586438509354,0.7382315179208915,0.8230045469420886,-0.4620964433724897,0.4074321142677758,0.5756160728300109,0.480105164024486,0.5086328676816826,0.5917045989640558,0.766677130748705,0.5967273583424894,0.6797794694710407,0.6204285041594726
3,cnn,defocus_blur,ODD,0.651541873764096,0.9633823953960474,0.4883105343580246,0.6272021108032682,-0.14266795448124037,0.4209288653733098,0.5018438351771685,0.4405429960985516,0.4677996900219122,0.5472716583827695,0.8238469349580461,0.5603121158676714,0.6466517022072577,0.651541873764096
4,cnn,defocus_blur,ODD,0.7725673019790666,0.9786392638088732,0.5830390825867653,0.6886160673078415,-0.1723241383888201,0.5764431646784589,0.4885049590931944,0.5827734357146122,0.4810548928195987,0.6945472827825769,0.8133826957356369,0.6946386946386948,0.7627405274464099,0.7725673019790666
0,cnn,glass_blur,ODD,0.7964249048855607,0.981281103021372,0.5466559616227945,0.6493518963469064,-0.36019891490207323,0.49598405700827347,0.28848360408237206,0.5127725104172958,0.5452020049519899,0.6179117096443022,0.7919560359925116,0.6100609940213781,0.6876019083277974,0.7964249048855607
1,cnn,glass_blur,ODD,0.7561645671401769,0.9837852586905734,0.4365829656024774,0.5607105770609834,-0.11858284355334825,0.4838515143393192,0.5474403645135353,0.5498860895202359,0.5110560171535782,0.6914366121683194,0.7524792280889842,0.6913025998391851,0.7499329938354329,0.7561645671401769
2,cnn,glass_blur,ODD,0.726684837795949,0.9738429824338602,0.5211640530824662,0.6637487024038341,-0.23326212543465585,0.5806210250654695,0.5518144407033295,0.615867671423227,0.5064400619956175,0.6351344129121907,0.7454973010528565,0.6350275239164128,0.7078456522900967,0.726684837795949
